Eu _ minhas tarefas diárias.|faço
Ela _ um bolo delicioso.|faz
Nós _ um projeto em equipe.|fazemos
Eles _ suas lições de casa.|fazem
Tu _ um bom trabalho.|fazes
Ele _ um café pela manhã.|faz
Vocês _ um favor para o vizinho.|fazem
Eu _ exercícios regularmente.|faço
Elas _ uma apresentação na reunião.|fazem
Nós _ um piquenique no parque.|fazemos
Eu _ a limpeza da casa.|faço
Ela _ um curso online.|faz
Nós _ um passeio no parque.|fazemos
Eles _ uma pausa para o lanche.|fazem
Tu _ um favor para um amigo.|fazes
Ele _ um novo projeto.|faz
Vocês _ uma festa de aniversário.|fazem
Eu _ um diário pessoal.|faço
Elas _ uma caminhada matinal.|fazem
Nós _ uma lista de compras.|fazemos
Eu _ um bolo de aniversário.|faço
Ela _ uma aula de dança.|faz
Nós _ um plano para o fim de semana.|fazemos
Eles _ um esforço para melhorar.|fazem
Tu _ um desenho bonito.|fazes
Ele _ um intervalo para o descanso.|faz
Vocês _ um plano de viagem.|fazem
Eu _ uma revisão dos documentos.|faço
Elas _ uma sessão de fotos.|fazem
Nós _ um tour pela cidade.|fazemos
Eles _ um favor ao vizinho.|fazem
Tu _ uma pausa para o lanche.|fazes
Ele _ um discurso motivacional.|faz
Vocês _ um evento de caridade.|fazem
Eu _ uma declaração de amor.|faço
Elas _ uma caminhada ao pôr do sol.|fazem
Nós _ um plano para o futuro.|fazemos
Eles _ uma visita ao museu.|fazem
Tu _ um favor para um amigo.|fazes
Ele _ um café expresso.|faz
Vocês _ um programa para o final de semana.|fazem
Eu _ um projeto criativo.|faço
Elas _ uma contribuição à comunidade.|fazem
Nós _ um piquenique na praia.|fazemos
Eles _ uma refeição especial.|fazem
