Eu _ viajar.|quero
Ela _ aprender.|quer
Nós _ vencer.|queremos
Eles _ crescer.|querem
Tu _ tentar.|queres
Ele _ ajudar.|quer
Vocês _ melhorar.|querem
Eu _ arriscar.|quero
Elas _ entender.|querem
Nós _ alcançar.|queremos
Eu _ colaborar.|quero
Ela _ avançar.|quer
Nós _ contribuir.|queremos
Eles _ aprimorar.|querem
Tu _ inovar.|queres
Ele _ cooperar.|quer
Vocês _ progredir.|querem
Eu _ lutar.|quero
Elas _ evoluir.|querem
Nós _ competir.|queremos
Eu _ persistir.|quero
Ela _ buscar.|quer
Nós _ conquistar.|queremos
Eles _ desenvolver.|querem
Tu _ investir.|queres
Ele _ realizar.|quer
Vocês _ concretizar.|querem
Eu _ alcançar.|quero
Elas _ sonhar.|querem
Nós _ almejar.|queremos
Eles _ ousar.|querem
Tu _ almejar.|queres
Ele _ desejar.|quer
Vocês _ buscar.|querem
Eu _ perseguir.|quero
Elas _ ambicionar.|querem
Nós _ pretender.|queremos
Eles _ querer.|querem
Tu _ aspirar.|queres
Ele _ ansiar.|quer
Vocês _ almejar.|querem
Eu _ sonhar.|quero
Elas _ querer.|querem
Nós _ desejar.|queremos
Eles _ perseguir.|querem
Tu _ buscar.|queres
Ele _ lutar.|quer
Vocês _ alcançar.|querem
