Eu _ o filme.|vejo
Ela _ as estrelas.|vê
Nós _ as cores.|vemos
Eles _ o quadro.|veem
Tu _ o livro.|vês
Ele _ a verdade.|vê
Vocês _ os detalhes.|veem
Eu _ a beleza.|vejo
Elas _ o caminho.|veem
Nós _ o universo.|vemos
Eu _ a beleza.|vejo
Ela _ a paisagem.|vê
Nós _ as imagens.|vemos
Eles _ a natureza.|veem
Tu _ o desenho.|vês
Ele _ o futuro.|vê
Vocês _ o cenário.|veem
Eu _ o espetáculo.|vejo
Elas _ a apresentação.|veem
Nós _ o esboço.|vemos
Eu _ a cena.|vejo
Ela _ o brilho.|vê
Nós _ o horizonte.|vemos
Eles _ a beleza.|veem
Tu _ a imagem.|vês
Ele _ a realidade.|vê
Vocês _ os detalhes.|veem
Eu _ a sequência.|vejo
Elas _ a aura.|veem
Nós _ a vista.|vemos
Eles _ o enredo.|veem
Tu _ o reflexo.|vês
Ele _ o desenho.|vê
Vocês _ o plano.|veem
Eu _ a textura.|vejo
Elas _ a sombra.|veem
Nós _ a manifestação.|vemos
Eles _ a forma.|veem
Tu _ a nuance.|vês
Ele _ o panorama.|vê
Vocês _ a visão.|veem
Eu _ a figura.|vejo
Elas _ a aparência.|veem
Nós _ a perspectiva.|vemos
Eles _ a observação.|veem
Tu _ a coloração.|vês
Ele _ a ilustração.|vê
Vocês _ o retrato.|veem
