Eu _ ajudar.|posso
Ela _ correr.|pode
Nós _ cantar.|podemos
Eles _ trabalhar.|podem
Tu _ falar.|podes
Ele _ nadar.|pode
Vocês _ cozinhar.|podem
Eu _ aprender.|posso
Elas _ escrever.|podem
Nós _ viajar.|podemos
Eu _ resolver.|posso
Ela _ ler.|pode
Nós _ entender.|podemos
Eles _ dançar.|podem
Tu _ descansar.|podes
Ele _ tocar.|pode
Vocês _ pensar.|podem
Eu _ ensinar.|posso
Elas _ jogar.|podem
Nós _ programar.|podemos
Eu _ criar.|posso
Ela _ assistir.|pode
Nós _ colaborar.|podemos
Eles _ viver.|podem
Tu _ ajudar.|podes
Ele _ viajar.|pode
Vocês _ estudar.|podem
Eu _ brincar.|posso
Elas _ cozinhar.|podem
Nós _ resolver.|podemos
Eles _ caminhar.|podem
Tu _ sorrir.|podes
Ele _ ler.|pode
Vocês _ escrever.|podem
Eu _ sonhar.|posso
Elas _ falar.|podem
Nós _ fazer.|podemos
Eles _ olhar.|podem
Tu _ dançar.|podes
Ele _ ajudar.|pode
Vocês _ nadar.|podem
Eu _ pensar.|posso
Elas _ correr.|podem
Nós _ tocar.|podemos
Eles _ criar.|podem
Tu _ assistir.|podes
Ele _ programar.|pode
Vocês _ resolver.|podem
